10	2	15
20	2	30
40	2	60
80	2	120
160	2	240
320	2	480
640	2	960
1280	2	1920
2560	2	3840
5120	2	7680
10240	2	15360
20480	2	30720
40960	2	61440
81920	2	122880
163840	2	245760
327680	2	491520
655360	2	983040
10	4	20
20	4	41
40	4	83
80	4	166
160	4	333
320	4	666
640	4	1333
1280	4	2666
2560	4	5333
5120	4	10666
10240	4	21333
20480	4	42666
40960	4	85333
81920	4	170666
163840	4	341333
327680	4	682666
655360	4	1365333
10	8	25
20	8	52
40	8	107
80	8	216
160	8	433
320	8	868
640	8	1738
1280	8	3477
2560	8	6956
5120	8	13914
10240	8	27829
20480	8	55660
40960	8	111322
81920	8	222645
163840	8	445292
327680	8	890586
655360	8	1781173
20	16	62
40	16	130
80	16	266
160	16	536
320	16	1077
640	16	2160
1280	16	4323
2560	16	8649
5120	16	17304
10240	16	34613
20480	16	69232
40960	16	138470
81920	16	276945
163840	16	553894
327680	16	1107793
655360	16	2215590
40	32	150
80	32	312
160	32	637
320	32	1286
640	32	2586
1280	32	5185
2560	32	10377
5120	32	20766
10240	32	41546
20480	32	83105
40960	32	166224
81920	32	332459
163840	32	664933
327680	32	1329877
655360	32	2659763
80	64	352
160	64	730
320	64	1491
640	64	3010
1280	64	6047
2560	64	12118
5120	64	24260
10240	64	48547
20480	64	97128
40960	64	194284
81920	64	388592
163840	64	777211
327680	64	1554453
655360	64	3108929
160	128	810
320	128	1677
640	128	3422
1280	128	6900
2560	128	13853
5120	128	27759
10240	128	55574
20480	128	111212
40960	128	222488
81920	128	445028
163840	128	890108
327680	128	1780276
655360	128	3560608
320	256	1837
640	256	3795
1280	256	7725
2560	256	15560
5120	256	31235
10240	256	62587
20480	256	125304
40960	256	250733
81920	256	501587
163840	256	1003296
327680	256	2006707
655360	256	4013524
640	512	4115
1280	512	8471
2560	512	17211
5120	512	34655
10240	512	69550
20480	512	139355
40960	512	278959
81920	512	558161
163840	512	1116572
327680	512	2233398
655360	512	4467021
1280	1024	9111
2560	1024	18704
5120	1024	37959
10240	1024	76393
20480	1024	153289
40960	1024	307078
81920	1024	614651
163840	1024	1229807
327680	1024	2460118
655360	1024	4920710
2560	2048	19984
5120	2048	40945
10240	2048	83002
20480	2048	166980
40960	2048	334955
81920	2048	670906
163840	2048	1342822
327680	2048	2686659
655360	2048	5374300
5120	4096	43505
10240	4096	88975
20480	4096	180201
40960	4096	362343
81920	4096	726667
163840	4096	1455347
327680	4096	2912728
655360	4096	5827454
10240	8192	94095
20480	8192	192147
40960	8192	388787
81920	8192	781449
163840	8192	1566882
327680	8192	3137804
655360	8192	6279632
20480	16384	202387
40960	16384	412680
81920	16384	834338
163840	16384	1676450
327680	16384	3360882
655360	16384	6729804
40960	32768	433160
81920	32768	882124
163840	32768	1782229
327680	32768	3580022
655360	32768	7175967
81920	65536	923084
163840	65536	1877802
327680	65536	3791582
655360	65536	7614249
