10	1	10
10	2	15
10	4	20
10	8	25
100	1	100
100	2	150
100	4	208
100	8	270
100	16	334
100	32	395
100	64	446
1000	1	1000
1000	2	1500
1000	4	2083
1000	8	2716
1000	16	3375
1000	32	4046
1000	64	4716
1000	128	5374
1000	256	6004
1000	512	6581
10000	1	10000
10000	2	15000
10000	4	20833
10000	8	27177
10000	16	33804
10000	32	40575
10000	64	47416
10000	128	54280
10000	256	61129
10000	512	67923
10000	1024	74596
10000	2048	81027
10000	4096	86860
10000	8192	91860
100000	1	100000
100000	2	150000
100000	4	208333
100000	8	271784
100000	16	338068
100000	32	405838
100000	64	474362
100000	128	543256
100000	256	612313
100000	512	681404
100000	1024	750416
100000	2048	819193
100000	4096	887467
100000	8192	954736
100000	16384	1020055
100000	32768	1081721
100000	65536	1132286
1000000	1	1000000
1000000	2	1500000
1000000	4	2083333
1000000	8	2717856
1000000	16	3380726
1000000	32	4058487
1000000	64	4743870
1000000	128	5433095
1000000	256	6124234
1000000	512	6816290
1000000	1024	7508717
1000000	2048	8201121
1000000	4096	8893134
1000000	8192	9584179
1000000	16384	10273215
1000000	32768	10958095
1000000	65536	11634848
1000000	131072	12294682
1000000	262144	12923133
1000000	524288	13494322
10000000	1	10000000
10000000	2	15000000
10000000	4	20833333
10000000	8	27178570
10000000	16	33807285
10000000	32	40584940
10000000	64	47438884
10000000	128	54331419
10000000	256	61243339
10000000	512	68164930
10000000	1024	75091270
10000000	2048	82019806
10000000	4096	88949038
10000000	8192	95877872
10000000	16384	102804947
10000000	32768	109728079
10000000	65536	116643079
10000000	131072	123541731
10000000	262144	130407831
10000000	524288	137209446
10000000	1048576	143872867
10000000	2097152	150280639
10000000	4194304	156113972
10000000	8388608	161113972
100000000	1	100000000
100000000	2	150000000
100000000	4	208333333
100000000	8	271785713
100000000	16	338072896
100000000	32	405849508
100000000	64	474389064
100000000	128	543314654
100000000	256	612434375
100000000	512	681651410
100000000	1024	750917082
100000000	2048	820206918
100000000	4096	889508440
100000000	8192	958815062
100000000	16384	1028122695
100000000	32768	1097427754
100000000	65536	1166725367
100000000	131072	1236006974
100000000	262144	1305255934
100000000	524288	1374439476
100000000	1048576	1443491680
100000000	2097152	1512281346
100000000	4194304	1580551416
100000000	8388608	1647798523
100000000	16777216	1713064315
100000000	33554432	1774620432
100000000	67108864	1824620432
